1000	42
2000	161
3000	368
4000	645
5000	1011
6000	1473
7000	2072
8000	2618
9000	3280
10000	4049
11000	5062
12000	5937
13000	6944
14000	8128
15000	9536
16000	11702
17000	14182
18000	16566
19000	14356
20000	15858
21000	17756
22000	24300
23000	24837
24000	27620
25000	26666
26000	28835
27000	34183
28000	34247
29000	38268
30000	39824
31000	40124
32000	44305
33000	48710
34000	50517
